,age,State_gov,bachelors,edu_years,never_married,adm_clerical,not_in_family,race,gender,capital_gain,capital_loss,work_hours,country,salary
0,50, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,0
1,38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
2,53, Private, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0
3,28, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,0
4,37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,0
5,49, Private, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,0
6,52, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
7,31, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,1
8,42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,1
9,37, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,1
10,30, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1
11,23, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,0
12,32, Private, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,0
13,40, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,1
14,34, Private, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,0
15,25, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,0
16,32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0
17,38, Private, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
18,43, Self-emp-not-inc, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,1
19,40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
20,54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,0
21,35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,0
22,43, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States,0
23,59, Private, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0
24,56, Local-gov, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
25,19, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
26,54, ?, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,1
27,39, Private, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,0
28,49, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
29,23, Local-gov, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,0
30,20, Private, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0
31,45, Private, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,0
32,30, Federal-gov, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
33,22, State-gov, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,0
34,48, Private, 11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0
35,21, Private, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
36,19, Private, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,0
37,31, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,1
38,48, Self-emp-not-inc, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
39,31, Private, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,0
40,53, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
41,24, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
42,49, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
43,25, Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0
44,57, Federal-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,1
45,53, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,0
46,44, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
47,41, State-gov, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
48,29, Private, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0
49,25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,0
50,18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,0
51,47, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,1
52,50, Federal-gov, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1
53,47, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0
54,43, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
55,46, Private, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0
